Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 01:50:26.549000,32.5,31.0,993.0,False,44.9,195,1.7
0 days 01:51:26.562000,32.5,32.0,992.9,False,44.9,218,1.2
0 days 01:52:26.557000,32.5,32.0,993.0,False,44.7,195,1.5
0 days 01:53:26.549000,32.5,32.0,992.9,False,44.7,201,1.6
0 days 01:54:26.556000,32.4,32.0,993.0,False,44.5,180,1.3
0 days 01:55:26.571000,32.5,32.0,992.9,False,45.0,167,1.6
0 days 01:56:26.548000,32.5,32.0,992.9,False,44.9,197,1.1
0 days 01:57:26.561000,32.4,32.0,992.9,False,44.9,168,1.5
0 days 01:58:26.549000,32.4,32.0,993.0,False,44.6,205,1.5
0 days 01:59:26.560000,32.3,33.0,992.9,False,44.6,199,1.6
0 days 02:00:26.556000,32.3,32.0,992.9,False,44.6,222,1.3
0 days 02:01:26.549000,32.4,32.0,992.9,False,44.4,192,1.3
0 days 02:02:26.552000,32.4,32.0,992.9,False,44.2,185,1.6
0 days 02:03:26.564000,32.3,32.0,992.9,False,44.2,200,1.8
0 days 02:04:26.563000,32.3,33.0,992.9,False,44.2,190,1.1
0 days 02:05:26.557000,32.3,32.0,992.8,False,44.1,205,1.6
0 days 02:06:26.564000,32.3,32.0,992.9,False,44.1,196,1.6
0 days 02:07:26.593000,32.3,33.0,992.8,False,44.1,200,1.2
0 days 02:08:26.615000,32.2,33.0,992.7,False,43.9,213,1.4
0 days 02:09:26.629000,32.2,32.0,992.9,False,43.8,207,1.7
0 days 02:10:26.648000,32.2,32.0,992.8,False,43.8,218,1.8
0 days 02:11:26.663000,32.2,32.0,992.7,False,43.6,220,1.6
0 days 02:12:26.670000,32.2,32.0,992.8,False,43.5,229,1.9
